2.00,5,9
2.01,2,2
2.02,1,17
2.03,6,1
2.04,3,2
2.05,2,2
2.06,2,1
2.07,1,1
2.08,5,5
2.09,5,2
2.10,6,12
2.11,9,19
2.12,10,4
2.13,5,20
2.14,8,19
2.15,9,19
2.16,9,20
2.17,10,20
2.18,6,16
2.19,6,19
3.00,1,10
3.01,2,19
3.02,8,7
3.03,7,12
3.04,4,5
3.05,10,15
3.06,1,6
3.07,5,11
3.08,4,14
3.09,8,18
3.10,8,19
3.11,3,11
3.12,5,4
3.13,5,4
3.14,7,6
3.15,7,17
3.16,8,6
3.17,3,16
3.18,7,6
3.19,7,19
4.00,4,11
4.01,2,5
4.02,5,13
4.03,6,16
4.04,3,7
4.05,7,13
4.06,7,15
4.07,5,4
4.08,6,4
4.09,5,12
4.10,5,8
4.11,6,13
4.12,4,13
4.13,9,13
4.14,5,15
4.15,5,13
4.16,7,15
4.17,5,5
4.18,5,10
4.19,3,9
5.00,1,19
5.01,1,19
5.02,1,20
5.03,3,17
5.04,3,9
5.05,1,14
5.06,1,16
5.07,2,12
5.08,1,20
5.09,6,18
5.10,7,14
5.11,2,8
5.12,1,17
5.13,2,10
5.14,5,20
5.15,1,17
5.16,2,20
5.17,4,20
5.18,3,20
5.19,5,9
6.00,10,1
6.01,5,4
6.02,5,6
6.03,2,9
6.04,1,2
6.05,1,18
6.06,5,19
6.07,2,10
6.08,1,10
6.09,3,7
6.10,8,18
6.11,6,8
6.12,6,3
6.13,9,16
6.14,10,8
6.15,10,6
6.16,6,9
6.17,9,3
6.18,10,4
6.19,8,19
7.00,7,1
7.01,4,8
7.02,3,2
7.03,2,8
7.04,10,5
7.05,8,2
7.06,4,1
7.07,1,13
7.08,1,1
7.09,1,1
7.10,4,4
7.11,7,4
7.12,8,4
7.13,9,6
7.14,1,3
7.15,3,3
7.16,7,1
7.17,10,1
7.18,10,2
7.19,10,5
8.00,1,4
8.01,2,11
8.02,1,6
8.03,1,16
8.04,1,7
8.05,4,12
8.06,3,11
8.07,2,6
8.08,4,1
8.09,5,10
8.10,4,6
8.11,4,12
8.12,4,12
8.13,4,17
8.14,2,12
8.15,3,7
8.16,3,12
8.17,2,6
8.18,4,10
8.19,2,10
9.00,6,10
9.01,8,9
9.02,8,14
9.03,9,3
9.04,9,12
9.05,5,14
9.06,8,13
9.07,10,12
9.08,2,10
9.09,10,13
9.10,10,12
9.11,9,9
9.12,10,8
9.13,7,9
9.14,9,4
9.15,10,9
9.16,9,10
9.17,9,11
